3,5,Gouda,1.6,0.2,LongEaredOwl
3.2,4.7,Gouda,1.6,0.2,LongEaredOwl
3.4,4.6,Gouda,1.4,0.3,LongEaredOwl
3.6,5,Gouda,1.4,0.2,LongEaredOwl
4.1,5.2,Gouda,1.5,0.1,LongEaredOwl
3,4.9,Gouda,1.4,0.2,LongEaredOwl
3.3,5.1,Gouda,1.7,0.5,LongEaredOwl
3.4,4.8,Gouda,1.6,0.2,LongEaredOwl
3.7,5.1,Gouda,1.5,0.4,LongEaredOwl
3.1,4.9,Blue,1.5,0.1,LongEaredOwl
3.6,4.6,Gouda,1,0.2,LongEaredOwl
3.9,5.4,Parmesian,1.7,0.4,LongEaredOwl
3,4.3,Gouda,1.1,0.1,LongEaredOwl
2.9,4.4,Gouda,1.4,0.2,LongEaredOwl
3.4,5,Gouda,1.5,0.2,LongEaredOwl
3.5,5.1,Gouda,1.4,0.2,LongEaredOwl
3.2,5,Gouda,1.2,0.2,LongEaredOwl
3.8,5.1,Gouda,1.9,0.4,LongEaredOwl
3,4.8,Gouda,1.4,0.3,LongEaredOwl
4.2,5.5,Gouda,1.4,0.2,LongEaredOwl
3.7,5.4,Gouda,1.5,0.2,LongEaredOwl
3,4.8,Cheddar,1.4,0.1,LongEaredOwl
3.3,5,Gouda,1.4,0.2,LongEaredOwl
3.2,4.7,Gouda,1.3,0.2,LongEaredOwl
3.5,5.1,Gouda,1.4,0.3,LongEaredOwl
3.4,4.8,Gouda,1.9,0.2,LongEaredOwl
3.4,5.4,Parmesian,1.5,0.4,LongEaredOwl
3.8,5.1,Gouda,1.5,0.3,LongEaredOwl
3,4.4,Blue,1.3,0.2,LongEaredOwl
3.5,5,Gouda,1.3,0.3,LongEaredOwl
3.5,5,Cheddar,1.6,0.6,LongEaredOwl
3.9,5.4,Gouda,1.3,0.4,LongEaredOwl
3.1,4.6,Gouda,1.5,0.2,LongEaredOwl
3.8,5.7,Gouda,1.7,0.3,LongEaredOwl
4,5.8,Gouda,1.2,0.2,LongEaredOwl
3.7,5.3,Emmental,1.5,0.2,LongEaredOwl
3.4,5,Blue,1.6,0.4,LongEaredOwl
3.2,4.4,Gouda,1.3,0.2,LongEaredOwl
3.4,5.4,Gouda,1.7,0.2,LongEaredOwl
3.2,4.6,Gouda,1.4,0.2,LongEaredOwl
3.5,5.5,Emmental,1.3,0.2,LongEaredOwl
3.1,4.8,Parmesian,1.6,0.2,LongEaredOwl
3.1,4.9,Gouda,1.5,0.1,LongEaredOwl
3.4,5.2,Gouda,1.4,0.2,LongEaredOwl
2.3,4.5,Emmental,1.3,0.3,LongEaredOwl
2.8,6.4,Blue,5.6,2.1,SnowyOwl
3.2,6.4,Blue,5.3,2.3,SnowyOwl
2.8,6.2,Blue,4.8,1.8,SnowyOwl
2.5,6.3,Blue,5,1.9,SnowyOwl
3,6.1,Cheddar,4.9,1.8,SnowyOwl
3.3,6.3,Blue,6,2.5,SnowyOwl
2.6,7.7,Blue,6.9,2.3,SnowyOwl
2.7,6.3,Blue,4.9,1.8,SnowyOwl
2.5,4.9,Gouda,4.5,1.7,SnowyOwl
3,5.9,Blue,5.1,1.8,SnowyOwl
3.1,6.4,Emmental,5.5,1.8,SnowyOwl
3.8,7.7,Blue,6.7,2.2,SnowyOwl
3.4,6.2,Blue,5.4,2.3,SnowyOwl
3.2,6.8,Blue,5.9,2.3,SnowyOwl
3.1,6.9,Emmental,5.1,2.3,SnowyOwl
3,6.8,Blue,5.5,2.1,SnowyOwl
3.3,6.7,Blue,5.7,2.5,SnowyOwl
3.2,6.9,Blue,5.7,2.3,SnowyOwl
3,7.6,Parmesian,6.6,2.1,SnowyOwl
2.8,6.4,Blue,5.6,2.2,SnowyOwl
2.2,6,Parmesian,5,1.5,SnowyOwl
2.9,7.3,Blue,6.3,1.8,SnowyOwl
3,7.1,Gouda,5.9,2.1,SnowyOwl
3,7.2,Blue,5.8,1.6,SnowyOwl
3,6,Blue,4.8,1.8,SnowyOwl
2.8,5.6,Blue,4.9,2,SnowyOwl
2.9,6.3,Blue,5.6,1.8,SnowyOwl
2.7,5.8,Blue,5.1,1.9,SnowyOwl
2.7,5.8,Blue,5.1,1.9,SnowyOwl
2.5,6.7,Gouda,5.8,1.8,SnowyOwl
2.8,6.3,Cheddar,5.1,1.5,SnowyOwl
3.3,6.7,Blue,5.7,2.1,SnowyOwl
3.2,7.2,Blue,6,1.8,SnowyOwl
2.5,5.7,Cheddar,5,2,SnowyOwl
3.4,6.3,Blue,5.6,2.4,SnowyOwl
3.1,6.9,Blue,5.4,2.1,SnowyOwl
3,6.5,Blue,5.2,2,SnowyOwl
3,7.7,Emmental,6.1,2.3,SnowyOwl
2.8,7.4,Blue,6.1,1.9,SnowyOwl
2.8,7.7,Blue,6.7,2,SnowyOwl
3.6,7.2,Blue,6.1,2.5,SnowyOwl
2.6,6.1,Blue,5.6,1.4,SnowyOwl
3,6.7,Blue,5.2,2.3,SnowyOwl
3,6.5,Blue,5.8,2.2,SnowyOwl
2.7,6.4,Parmesian,5.3,1.9,SnowyOwl
2.7,5.6,Blue,4.2,1.3,BarnOwl
3,5.9,Cheddar,4.2,1.5,BarnOwl
3,6.1,Cheddar,4.6,1.4,BarnOwl
2.3,5.5,Gouda,4,1.3,BarnOwl
2.8,5.7,Cheddar,4.1,1.3,BarnOwl
3,5.6,Cheddar,4.5,1.5,BarnOwl
2.8,6.8,Emmental,4.8,1.4,BarnOwl
3.1,6.7,Emmental,4.4,1.4,BarnOwl
2.5,5.5,Emmental,4,1.3,BarnOwl
2.9,6.2,Cheddar,4.3,1.3,BarnOwl
3.1,6.9,Cheddar,4.9,1.5,BarnOwl
2.4,5.5,Emmental,3.8,1.1,BarnOwl
2.8,6.1,Emmental,4.7,1.2,BarnOwl
3,6.7,Cheddar,5,1.7,BarnOwl
2.8,6.1,Emmental,4,1.3,BarnOwl
2.9,6.4,Cheddar,4.3,1.3,BarnOwl
2.7,6,Blue,5.1,1.6,BarnOwl
2.7,5.8,Emmental,4.1,1,BarnOwl
2.6,5.8,Cheddar,4,1.2,BarnOwl
3,5.7,Cheddar,4.2,1.2,BarnOwl
2.4,5.5,Emmental,3.7,1,BarnOwl
2.5,5.1,Cheddar,3,1.1,BarnOwl
3.4,6,Cheddar,4.5,1.6,BarnOwl
2.3,5,Cheddar,3.3,1,BarnOwl
2.9,5.7,Emmental,4.2,1.3,BarnOwl
2.7,5.8,Cheddar,3.9,1.2,BarnOwl
2.6,5.5,Cheddar,4.4,1.2,BarnOwl
2,5,Cheddar,3.5,1,BarnOwl
2.5,5.6,Cheddar,3.9,1.1,BarnOwl
3,5.4,Emmental,4.5,1.5,BarnOwl
2.3,6.3,Cheddar,4.4,1.3,BarnOwl
2.8,6.5,Cheddar,4.6,1.5,BarnOwl
3,6.6,Cheddar,4.4,1.4,BarnOwl
2.9,6,Emmental,4.5,1.5,BarnOwl
2.7,5.2,Emmental,3.9,1.4,BarnOwl
2.5,6.3,Emmental,4.9,1.5,BarnOwl
3.2,6.4,Cheddar,4.5,1.5,BarnOwl
2.9,6.1,Cheddar,4.7,1.4,BarnOwl
2.9,5.6,Emmental,3.6,1.3,BarnOwl
2.2,6,Emmental,4,1,BarnOwl
3.3,6.3,Blue,4.7,1.6,BarnOwl
3.1,6.7,Cheddar,4.7,1.5,BarnOwl
2.9,6.6,Cheddar,4.6,1.3,BarnOwl
3,5.6,Emmental,4.1,1.3,BarnOwl
3.2,5.9,Gouda,4.8,1.8,BarnOwl
